Sector,Year,Volatilita(StdDev),PrezzoMedio
MISCELLANEOUS,1973,0.2232,0.85
MISCELLANEOUS,1975,0.1072,1.01
MISCELLANEOUS,1977,0.0828,1.15
MISCELLANEOUS,1979,0.1300,1.68
MISCELLANEOUS,1980,0.9566,2.97
MISCELLANEOUS,1982,2.1396,4.83
MISCELLANEOUS,1984,17.8856,17.14
MISCELLANEOUS,1986,23.3018,23.45
MISCELLANEOUS,1988,20.9735,17.01
MISCELLANEOUS,1991,1879.3624,170.09
MISCELLANEOUS,1993,785.4298,61.70
MISCELLANEOUS,1995,1727.2330,124.67
MISCELLANEOUS,1997,1121.4798,65.55
MISCELLANEOUS,1999,415.2324,48.31
MISCELLANEOUS,2000,1991.6892,137.72
MISCELLANEOUS,2002,10.8530,13.44
MISCELLANEOUS,2004,13.3184,18.17
MISCELLANEOUS,2006,564.6958,52.39
MISCELLANEOUS,2008,18.8182,20.82
MISCELLANEOUS,2011,143.2916,43.00
MISCELLANEOUS,2013,128.2832,49.08
MISCELLANEOUS,2015,164.9583,58.07
MISCELLANEOUS,2017,126.0582,50.36
N/A,1975,0.7516,1.87
N/A,1977,9.0469,14.73
N/A,1979,16.4509,23.48
N/A,1980,13.9578,18.38
N/A,1982,7.7304,14.08
N/A,1984,7.5881,16.13
N/A,1986,10.7330,21.11
N/A,1988,8.2543,14.09
N/A,1991,10.4338,14.71
N/A,1993,25.5585,17.95
N/A,1995,17.3933,14.99
N/A,1997,24.0232,17.13
N/A,1999,60.7748,19.46
N/A,2000,162.5698,30.67
N/A,2002,31.8648,18.00
N/A,2004,37.1525,21.04
N/A,2006,82.7073,27.99
N/A,2008,50.4648,23.09
N/A,2011,90.0588,29.40
N/A,2013,47.5808,28.95
N/A,2015,38.3414,27.90
N/A,2017,5980.8824,181.65
PUBLIC UTILITIES,1970,6.9203,12.98
PUBLIC UTILITIES,1972,6.7864,15.37
PUBLIC UTILITIES,1974,5.4847,6.59
PUBLIC UTILITIES,1976,5.7710,7.58
PUBLIC UTILITIES,1978,6.0361,8.43
PUBLIC UTILITIES,1981,4.5592,6.62
PUBLIC UTILITIES,1983,6.5174,8.68
PUBLIC UTILITIES,1985,7.9602,10.73
PUBLIC UTILITIES,1987,12.0357,14.48
PUBLIC UTILITIES,1989,17.0533,16.77
PUBLIC UTILITIES,1990,14.6177,16.34
PUBLIC UTILITIES,1992,19.5499,19.40
PUBLIC UTILITIES,1994,23.4011,20.39
PUBLIC UTILITIES,1996,43.1473,26.98
PUBLIC UTILITIES,1998,64.7398,34.46
PUBLIC UTILITIES,2001,43.8933,26.48
PUBLIC UTILITIES,2003,22.1426,19.64
PUBLIC UTILITIES,2005,22.6512,24.49
PUBLIC UTILITIES,2007,156.5289,32.53
PUBLIC UTILITIES,2009,16.0671,21.66
PUBLIC UTILITIES,2010,388.1219,32.49
PUBLIC UTILITIES,2012,188.2519,37.86
PUBLIC UTILITIES,2014,271.9612,48.71
PUBLIC UTILITIES,2016,839.3555,66.92
PUBLIC UTILITIES,2018,22.6417,31.84
TECHNOLOGY,1971,7.9410,8.19
TECHNOLOGY,1973,131.8842,58.93
TECHNOLOGY,1975,105.1380,45.92
TECHNOLOGY,1977,73.1027,33.95
TECHNOLOGY,1979,77.1906,36.77
TECHNOLOGY,1980,48.8971,16.10
TECHNOLOGY,1982,23.9840,8.87
TECHNOLOGY,1984,32.6077,11.41
TECHNOLOGY,1986,38.6923,11.56
TECHNOLOGY,1988,50.3143,13.08
TECHNOLOGY,1991,7.9253,5.96
TECHNOLOGY,1993,33.2930,13.12
TECHNOLOGY,1995,81.7746,23.10
TECHNOLOGY,1997,99.9883,32.05
TECHNOLOGY,1999,166.1590,50.15
TECHNOLOGY,2000,24602.3144,692.80
TECHNOLOGY,2002,22.9003,17.33
TECHNOLOGY,2004,2395.9919,110.73
TECHNOLOGY,2006,235.1318,31.25
TECHNOLOGY,2008,236.3203,29.58
TECHNOLOGY,2011,203.8334,33.13
TECHNOLOGY,2013,52.4846,30.55
TECHNOLOGY,2015,70.7070,37.57
TECHNOLOGY,2017,86.7822,42.61
TRANSPORTATION,1979,0.4338,1.83
TRANSPORTATION,1980,1.7847,2.81
TRANSPORTATION,1982,2.4349,3.77
TRANSPORTATION,1984,2.8650,5.05
TRANSPORTATION,1986,4.6127,6.92
TRANSPORTATION,1988,3.5897,6.38
TRANSPORTATION,1991,4.1944,7.99
TRANSPORTATION,1993,6.7083,12.93
TRANSPORTATION,1995,7.5058,12.36
TRANSPORTATION,1997,12.6069,17.33
TRANSPORTATION,1999,24.2088,17.62
TRANSPORTATION,2000,25.2759,16.87
TRANSPORTATION,2002,12.3132,17.89
TRANSPORTATION,2004,40.0674,29.68
TRANSPORTATION,2006,3423.6660,577.55
TRANSPORTATION,2008,5676.0616,954.94
TRANSPORTATION,2011,1190.8120,149.43
TRANSPORTATION,2013,1779.7329,145.71
TRANSPORTATION,2015,65.7947,37.49
TRANSPORTATION,2017,3416.5549,110.60
"INC.""",1987,0.2214,0.92
"INC.""",1989,0.0925,0.86
"INC.""",1990,0.0386,0.72
"INC.""",1992,0.0380,0.87
"INC.""",1994,0.1037,2.08
"INC.""",1996,0.0495,2.73
"INC.""",1998,1.5969,14.90
"INC.""",2001,4.3343,10.96
"INC.""",2003,3.3773,11.89
"INC.""",2005,1.1761,14.00
"INC.""",2007,1.6342,14.49
"INC.""",2009,2.0991,13.01
"INC.""",2010,2.3185,15.07
"INC.""",2012,5.9992,21.89
"INC.""",2014,7.7252,21.52
"INC.""",2016,5.1493,20.21
"INC.""",2018,15.4788,28.64
"LTD.""",1998,0.6405,1.99
"LTD.""",2001,0.3842,1.30
"LTD.""",2003,0.2789,1.16
"LTD.""",2005,1.2224,4.69
"LTD.""",2007,0.9807,6.95
"LTD.""",2009,1.6752,3.05
"LTD.""",2010,0.3992,6.23
"LTD.""",2012,0.2964,4.46
"LTD.""",2014,0.5220,7.30
"LTD.""",2016,0.8074,4.76
"LTD.""",2018,0.1588,6.98
"A GE COMPANY""",1987,4.7924,20.42
"A GE COMPANY""",1989,3.1934,19.28
"A GE COMPANY""",1990,2.2780,27.69
"A GE COMPANY""",1992,2.0905,20.87
"A GE COMPANY""",1994,1.1430,19.45
"A GE COMPANY""",1996,3.6981,30.88
"A GE COMPANY""",1998,9.0522,30.12
"A GE COMPANY""",2001,3.8915,36.23
"A GE COMPANY""",2003,1.7632,30.91
"A GE COMPANY""",2005,6.5164,51.18
"A GE COMPANY""",2007,8.8435,79.14
"A GE COMPANY""",2009,4.6691,37.21
"A GE COMPANY""",2010,4.7069,46.27
"A GE COMPANY""",2012,3.6813,44.41
"A GE COMPANY""",2014,6.9285,63.78
"A GE COMPANY""",2016,7.0735,49.02
"A GE COMPANY""",2018,2.8524,32.55
CO.,2007,25.7004,60.35
CO.,2009,4.9028,19.50
CO.,2010,6.8742,31.34
CO.,2012,2.0686,5.84
CO.,2014,0.9388,9.51
CO.,2016,1.3100,7.35
CO.,2018,0.2798,7.17
"CORP.""",2014,0.4619,3.27
"CORP.""",2016,12.3463,9.39
"CORP.""",2018,10.7658,18.48
"DICKINSON AND COMPANY""",1981,0.2060,2.88
"DICKINSON AND COMPANY""",1983,0.2525,2.70
"DICKINSON AND COMPANY""",1985,0.3670,3.28
"DICKINSON AND COMPANY""",1987,0.7806,7.28
"DICKINSON AND COMPANY""",1989,0.3344,6.93
"DICKINSON AND COMPANY""",1990,0.6757,8.23
"DICKINSON AND COMPANY""",1992,0.5606,9.21
"DICKINSON AND COMPANY""",1994,1.0969,10.40
"DICKINSON AND COMPANY""",1996,1.0078,20.66
"DICKINSON AND COMPANY""",1998,4.7101,37.55
"DICKINSON AND COMPANY""",2001,1.8649,34.65
"DICKINSON AND COMPANY""",2003,2.8439,36.32
"DICKINSON AND COMPANY""",2005,2.9496,56.01
"DICKINSON AND COMPANY""",2007,3.3909,78.08
"DICKINSON AND COMPANY""",2009,3.9948,69.19
"DICKINSON AND COMPANY""",2010,4.2814,75.15
"DICKINSON AND COMPANY""",2012,1.7739,76.36
"DICKINSON AND COMPANY""",2014,8.2258,119.31
"DICKINSON AND COMPANY""",2016,11.9369,163.87
"DICKINSON AND COMPANY""",2018,86.0153,145.97
"GOLD & INCOME TUST""",2011,2.1985,17.52
"GOLD & INCOME TUST""",2013,1.3781,12.08
"GOLD & INCOME TUST""",2015,1.1041,7.18
"GOLD & INCOME TUST""",2017,0.1482,6.92
"INC (ME)""",1999,0.4378,6.21
"INC (ME)""",2000,0.1501,5.06
"INC (ME)""",2002,0.8208,9.37
"INC (ME)""",2004,1.5319,17.71
"INC (ME)""",2006,0.4117,17.10
"INC (ME)""",2008,1.8665,16.69
"INC (ME)""",2011,0.8402,14.25
"INC (ME)""",2013,0.5662,17.09
"INC (ME)""",2015,1.6716,18.50
"INC (ME)""",2017,1.7472,27.71
"INC""",1981,0.4565,2.43
"INC""",1983,0.2362,2.84
"INC""",1985,0.2411,2.27
"INC""",1987,1.1228,3.15
"INC""",1989,0.7697,3.84
"INC""",1990,0.6871,4.00
"INC""",1992,1.8035,6.18
"INC""",1994,3.1330,4.82
"INC""",1996,15.3679,15.11
"INC""",1998,9.5136,12.88
"INC""",2001,5.5596,7.97
"INC""",2003,6.1523,9.60
"INC""",2005,10.9580,15.70
"INC""",2007,10.4256,15.41
"INC""",2009,8.5606,11.78
"INC""",2010,10.0320,15.14
"INC""",2012,12.5339,16.66
"INC""",2014,337.6160,69.41
"INC""",2016,18.2757,21.14
"INC""",2018,30.1157,27.05
"INC. (HOLDING CO.)""",1985,0.9931,17.82
"INC. (HOLDING CO.)""",1987,3.9927,20.31
"INC. (HOLDING CO.)""",1989,0.7937,9.03
"INC. (HOLDING CO.)""",1990,1.4478,7.38
"INC. (HOLDING CO.)""",1992,0.6495,8.20
"INC. (HOLDING CO.)""",1994,0.4087,8.29
"INC. (HOLDING CO.)""",1996,0.4995,12.56
"INC. (HOLDING CO.)""",1998,0.9915,14.66
"INC. (HOLDING CO.)""",2001,2.5962,19.16
"INC. (HOLDING CO.)""",2003,1.9101,16.89
"INC. (HOLDING CO.)""",2005,1.8238,27.12
"INC. (HOLDING CO.)""",2007,3.8894,27.26
"INC. (HOLDING CO.)""",2009,1.7007,10.48
"INC. (HOLDING CO.)""",2010,0.6426,12.20
"INC. (HOLDING CO.)""",2012,1.3610,19.59
"INC. (HOLDING CO.)""",2014,1.6740,27.04
"INC. (HOLDING CO.)""",2016,1.1985,32.69
"INC. (HOLDING CO.)""",2018,1.5695,37.87
"INC. (NJ)""",2004,2.0267,14.09
"INC. (NJ)""",2006,0.5187,15.57
"INC. (NJ)""",2008,1.4099,13.52
"INC. (NJ)""",2011,0.6761,10.36
"INC. (NJ)""",2013,1.0752,10.68
"INC. (NJ)""",2015,0.7520,11.37
"INC. (NJ)""",2017,0.9630,14.72
"INC. (THE)""",1981,3.3426,2.10
"INC. (THE)""",1983,1.4373,1.82
"INC. (THE)""",1985,17.2751,9.42
"INC. (THE)""",1987,62.0880,27.77
"INC. (THE)""",1989,85.9050,35.79
"INC. (THE)""",1990,48.7843,21.51
"INC. (THE)""",1992,26.2789,17.25
"INC. (THE)""",1994,46.3035,24.05
"INC. (THE)""",1996,36.5414,20.19
"INC. (THE)""",1998,16.0888,19.25
"INC. (THE)""",2001,25.2655,23.73
"INC. (THE)""",2003,29.0956,21.44
"INC. (THE)""",2005,52.9832,34.53
"INC. (THE)""",2007,73.5702,47.11
"INC. (THE)""",2009,25.6489,19.25
"INC. (THE)""",2010,28.6661,25.72
"INC. (THE)""",2012,26.9950,29.05
"INC. (THE)""",2014,48.4994,42.55
"INC. (THE)""",2016,45.6392,40.03
"INC. (THE)""",2018,68.1320,54.84
"INC. HOLDING COMPANY""",1981,0.9222,7.40
"INC. HOLDING COMPANY""",1983,1.1770,14.45
"INC. HOLDING COMPANY""",1985,0.5918,12.34
"INC. HOLDING COMPANY""",1987,3.5523,24.97
"INC. HOLDING COMPANY""",1989,3.1568,30.02
"INC. HOLDING COMPANY""",1990,5.7008,28.30
"INC. HOLDING COMPANY""",1992,3.3145,33.94
"INC. HOLDING COMPANY""",1994,3.5860,50.84
"INC. HOLDING COMPANY""",1996,2.4455,50.89
"INC. HOLDING COMPANY""",1998,10.2801,62.01
"INC. HOLDING COMPANY""",2001,4.8038,21.23
"INC. HOLDING COMPANY""",2003,2.8376,20.33
"INC. HOLDING COMPANY""",2005,4.2408,49.54
"INC. HOLDING COMPANY""",2007,13.0932,69.60
"INC. HOLDING COMPANY""",2009,6.0514,26.69
"INC. HOLDING COMPANY""",2010,4.1868,27.78
"INC. HOLDING COMPANY""",2012,7.4642,28.21
"INC. HOLDING COMPANY""",2014,1.3779,8.25
"INC. HOLDING COMPANY""",2016,1.1912,9.03
"INC. HOLDING COMPANY""",2018,0.6052,2.99
"INC. OF LOUISIANA""",2007,0.1844,10.05
"INC. OF LOUISIANA""",2009,0.9469,7.27
"INC. OF LOUISIANA""",2010,1.1123,9.26
"INC. OF LOUISIANA""",2012,1.4871,16.07
"INC. OF LOUISIANA""",2014,0.7150,18.65
"INC. OF LOUISIANA""",2016,1.1740,22.92
"INC. OF LOUISIANA""",2018,1.6444,31.21
"INC.""",1970,9.1827,10.18
"INC.""",1972,9.0039,10.13
"INC.""",1974,5.4632,4.64
"INC.""",1976,6.1922,5.79
"INC.""",1978,5.9832,5.61
"INC.""",1981,415.0828,19.40
"INC.""",1983,819.4449,20.34
"INC.""",1985,42.7389,11.61
"INC.""",1987,2160.9444,29.28
"INC.""",1989,20.6469,10.80
"INC.""",1990,22.6329,10.39
"INC.""",1992,32.0795,12.90
"INC.""",1994,1339.0412,37.28
"INC.""",1996,2443.7210,116.11
"INC.""",1998,1775.3405,74.13
"INC.""",2001,3365.8502,73.56
"INC.""",2003,4828.3971,172.95
"INC.""",2005,11732.1484,492.27
"INC.""",2007,7532.9342,309.14
"INC.""",2009,720.6322,54.28
"INC.""",2010,589.5139,53.89
"INC.""",2012,711.3286,62.12
"INC.""",2014,940.3106,77.20
"INC.""",2016,669.5865,53.15
"INC.""",2018,180.8340,41.54
"INCOME & GROWTH INC.""",2018,0.9748,17.74
"INCORPORATED""",1981,3.0862,3.58
"INCORPORATED""",1983,7.4902,6.24
"INCORPORATED""",1985,5.9628,6.61
"INCORPORATED""",1987,6.7521,7.96
"INCORPORATED""",1989,5.7822,8.58
"INCORPORATED""",1990,5.2661,7.72
"INCORPORATED""",1992,8.0696,10.32
"INCORPORATED""",1994,8.4462,12.69
"INCORPORATED""",1996,7.3507,15.24
"INCORPORATED""",1998,10.0009,20.57
"INCORPORATED""",2001,9.8815,15.65
"INCORPORATED""",2003,18.9377,20.30
"INCORPORATED""",2005,43.3082,35.15
"INCORPORATED""",2007,30.3754,32.50
"INCORPORATED""",2009,13.4679,17.71
"INCORPORATED""",2010,14.3643,20.04
"INCORPORATED""",2012,20.0619,22.70
"INCORPORATED""",2014,27.1700,31.94
"INCORPORATED""",2016,39.9367,40.00
"INCORPORATED""",2018,70.6990,53.10
"INDUSTRIALS AND MATERIALS FUND""",2010,1.3438,18.52
"INDUSTRIALS AND MATERIALS FUND""",2012,0.8682,17.23
"INDUSTRIALS AND MATERIALS FUND""",2014,0.8565,17.27
"INDUSTRIALS AND MATERIALS FUND""",2016,0.6892,12.38
"INDUSTRIALS AND MATERIALS FUND""",2018,0.6924,15.49
"INFRASTRUCTURE & POWER OPPORTUN""",2011,0.0546,20.04
"INFRASTRUCTURE & POWER OPPORTUN""",2013,0.8692,18.40
"INFRASTRUCTURE & POWER OPPORTUN""",2015,1.3808,18.52
"INFRASTRUCTURE & POWER OPPORTUN""",2017,0.7590,20.60
"INTEREST & PREMIUM STRATEGY FUND""",2006,1.0032,23.11
"INTEREST & PREMIUM STRATEGY FUND""",2008,4.1103,19.38
"INTEREST & PREMIUM STRATEGY FUND""",2011,1.2377,17.45
"INTEREST & PREMIUM STRATEGY FUND""",2013,0.5255,17.08
"INTEREST & PREMIUM STRATEGY FUND""",2015,1.5669,14.68
"INTEREST & PREMIUM STRATEGY FUND""",2017,0.1845,13.18
"L.L.C.""",2011,0.9107,7.51
"L.L.C.""",2013,8.9243,14.85
"L.L.C.""",2015,12.8840,16.58
"L.L.C.""",2017,11.4876,14.97
"L.P.""",1987,7.7627,13.65
"L.P.""",1989,4.8541,10.41
"L.P.""",1990,1.4336,7.34
"L.P.""",1992,1.1631,10.98
"L.P.""",1994,5.2098,13.92
"L.P.""",1996,5.8347,17.82
"L.P.""",1998,6.0588,18.95
"L.P.""",2001,7.1576,15.69
"L.P.""",2003,8.6995,17.18
"L.P.""",2005,9.5196,19.50
"L.P.""",2007,11.0633,21.82
"L.P.""",2009,10.8575,15.82
"L.P.""",2010,13.5514,21.00
"L.P.""",2012,13.3473,24.16
"L.P.""",2014,17.6251,33.65
"L.P.""",2016,13.3463,22.66
"L.P.""",2018,13.3367,20.53
"LIMITED PARTNERSHIP // VENTAS CAPITAL CORPORATI""",2014,0.8994,23.69
"LIMITED PARTNERSHIP // VENTAS CAPITAL CORPORATI""",2016,1.0177,26.27
"LIMITED PARTNERSHIP // VENTAS CAPITAL CORPORATI""",2018,0.1235,25.01
"LIMITED""",2003,3.5303,17.71
"LIMITED""",2005,8.8967,55.83
"LIMITED""",2007,21.1053,113.56
"LIMITED""",2009,16.0519,45.57
"LIMITED""",2010,41.3057,50.29
"LIMITED""",2012,54.5437,57.60
"LIMITED""",2014,97.4956,102.61
"LIMITED""",2016,41.2257,49.91
"LIMITED""",2018,68.4865,105.72
"LLC""",1997,6.7721,90.60
"LLC""",1999,3.8886,98.26
"LLC""",2000,6.2758,101.77
"LLC""",2002,3.2323,124.69
"LLC""",2004,55.8661,69.54
"LLC""",2006,55.0936,72.19
"LLC""",2008,14.1762,22.38
"LLC""",2011,12.7257,15.25
"LLC""",2013,14.2226,26.38
"LLC""",2015,12.9690,28.12
"LLC""",2017,8.4645,26.85
"LP""",2001,1.8733,23.80
"LP""",2003,6.7441,23.82
"LP""",2005,2.9869,35.72
"LP""",2007,4.5385,34.65
"LP""",2009,11.0730,19.22
"LP""",2010,53.8284,45.64
"LP""",2012,24.0721,35.58
"LP""",2014,20.3299,38.11
"LP""",2016,18.5998,26.17
"LP""",2018,16.3128,24.83
"LTD""",2009,0.7453,30.20
"LTD""",2010,5.1132,25.94
"LTD""",2012,2.1897,4.67
"LTD""",2014,3.3269,9.03
"LTD""",2016,0.4470,3.48
"LTD""",2018,3.0777,3.87
"LTD.""",1981,0.3778,1.73
"LTD.""",1983,1.6708,2.60
"LTD.""",1985,8.3731,9.64
"LTD.""",1987,13.6381,15.46
"LTD.""",1989,12.8468,15.48
"LTD.""",1990,14.8004,12.49
"LTD.""",1992,28.2887,21.10
"LTD.""",1994,23.8744,15.52
"LTD.""",1996,23.9869,17.15
"LTD.""",1998,39.0569,21.64
"LTD.""",2001,92.9971,41.58
"LTD.""",2003,103.3687,44.39
"LTD.""",2005,141.9950,54.58
"LTD.""",2007,110.4616,45.69
"LTD.""",2009,48.7833,24.18
"LTD.""",2010,59.1803,29.35
"LTD.""",2012,87.9606,34.55
"LTD.""",2014,101.2241,40.62
"LTD.""",2016,126.1356,40.61
"LTD.""",2018,132.2952,47.68
"N.V.""",1994,0.3575,8.91
"N.V.""",1996,1.2737,15.21
"N.V.""",1998,4.7246,29.26
"N.V.""",2001,4.3727,31.39
"N.V.""",2003,3.0509,17.92
"N.V.""",2005,2.7409,28.62
"N.V.""",2007,9.8355,30.86
"N.V.""",2009,3.7280,12.45
"N.V.""",2010,4.9394,16.10
"N.V.""",2012,6.8280,17.20
"N.V.""",2014,5.2638,21.37
"N.V.""",2016,6.3114,21.11
"N.V.""",2018,4.4928,22.68
"PLC""",1973,0.2034,1.63
"PLC""",1975,0.0836,1.28
"PLC""",1977,0.1337,1.95
"PLC""",1979,0.1070,1.89
"PLC""",1980,0.2387,1.95
"PLC""",1982,0.1919,2.10
"PLC""",1984,0.2908,3.48
"PLC""",1986,0.2672,5.10
"PLC""",1988,0.2613,5.67
"PLC""",1991,0.4612,6.42
"PLC""",1993,0.8931,9.93
"PLC""",1995,0.8235,11.69
"PLC""",1997,3.2930,15.86
"PLC""",1999,3.3896,20.08
"PLC""",2000,8.4426,23.07
"PLC""",2002,4.1122,14.80
"PLC""",2004,9.7035,21.20
"PLC""",2006,20.5610,37.40
"PLC""",2008,25.9795,40.09
"PLC""",2011,15.8093,39.49
"PLC""",2013,21.7373,49.80
"PLC""",2015,24.7569,51.80
"PLC""",2017,29.3365,49.39
RUGER & COMPANY,1981,0.2151,2.09
RUGER & COMPANY,1983,0.4016,3.28
RUGER & COMPANY,1985,0.4702,3.84
RUGER & COMPANY,1987,0.4242,4.28
RUGER & COMPANY,1989,1.2906,6.88
RUGER & COMPANY,1990,0.4610,6.20
RUGER & COMPANY,1992,1.0340,8.36
RUGER & COMPANY,1994,0.8878,14.03
RUGER & COMPANY,1996,2.9159,19.68
RUGER & COMPANY,1998,2.9186,16.51
RUGER & COMPANY,2001,0.9457,10.40
RUGER & COMPANY,2003,0.9116,10.23
RUGER & COMPANY,2005,1.0046,8.12
RUGER & COMPANY,2007,3.6282,13.41
RUGER & COMPANY,2009,2.1114,11.00
RUGER & COMPANY,2010,1.8602,14.14
RUGER & COMPANY,2012,5.3119,45.09
RUGER & COMPANY,2014,12.1499,56.45
RUGER & COMPANY,2016,6.3888,62.07
RUGER & COMPANY,2018,4.1682,55.20
"S.A. DE C.V.""",2001,2.8271,16.31
"S.A. DE C.V.""",2003,2.3177,14.03
"S.A. DE C.V.""",2005,3.7892,32.28
"S.A. DE C.V.""",2007,4.9528,48.86
"S.A. DE C.V.""",2009,9.5867,31.32
"S.A. DE C.V.""",2010,8.8053,42.59
"S.A. DE C.V.""",2012,23.2140,61.38
"S.A. DE C.V.""",2014,31.5522,94.00
"S.A. DE C.V.""",2016,29.4949,120.18
"S.A. DE C.V.""",2018,48.8093,111.84
"S.A.""",1992,9.9689,15.12
"S.A.""",1994,14.6130,18.66
"S.A.""",1996,21.6521,21.43
"S.A.""",1998,10.7917,16.20
"S.A.""",2001,11.3092,16.85
"S.A.""",2003,2.8064,8.47
"S.A.""",2005,4.0792,13.85
"S.A.""",2007,16.1910,25.74
"S.A.""",2009,12.1457,19.09
"S.A.""",2010,16.6894,24.80
"S.A.""",2012,27.2826,29.03
"S.A.""",2014,44.9647,41.85
"S.A.""",2016,23.6684,27.57
"S.A.""",2018,39.5986,39.70
S.A.,2012,0.9093,14.56
S.A.,2014,1.2560,12.47
S.A.,2016,0.7983,8.56
S.A.,2018,0.5240,7.35
"S.A.B. DE C.V.""",2001,0.4151,2.95
"S.A.B. DE C.V.""",2003,0.7358,3.24
"S.A.B. DE C.V.""",2005,2.0855,10.74
"S.A.B. DE C.V.""",2007,3.7461,28.23
"S.A.B. DE C.V.""",2009,3.8667,19.33
"S.A.B. DE C.V.""",2010,2.0657,25.37
"S.A.B. DE C.V.""",2012,1.2746,24.63
"S.A.B. DE C.V.""",2014,6.4502,17.63
"S.A.B. DE C.V.""",2016,2.9790,14.59
"S.A.B. DE C.V.""",2018,5.1241,14.12
"S.P.A.""",1994,1.2468,14.90
"S.P.A.""",1996,1.4786,24.43
"S.P.A.""",1998,3.3141,23.38
"S.P.A.""",2001,0.8923,12.84
"S.P.A.""",2003,0.8821,9.21
"S.P.A.""",2005,1.2441,9.04
"S.P.A.""",2007,1.3364,7.37
"S.P.A.""",2009,0.6721,2.11
"S.P.A.""",2010,0.6502,3.74
"S.P.A.""",2012,0.4655,2.50
"S.P.A.""",2014,0.3919,2.41
"S.P.A.""",2016,0.1388,1.58
"S.P.A.""",2018,0.0823,1.62
"SERIES 1""",2001,8.7714,43.59
"SERIES 1""",2003,3.9109,30.34
"SERIES 1""",2005,1.7195,38.34
"SERIES 1""",2007,3.2186,47.79
"SERIES 1""",2009,5.5648,36.77
"SERIES 1""",2010,3.3678,47.87
"SERIES 1""",2012,2.8188,64.84
"SERIES 1""",2014,6.0503,94.13
"SERIES 1""",2016,6.1817,111.39
"SERIES 1""",2018,7.2994,169.45
"TBK""",1995,2.0229,20.33
"TBK""",1997,6.8920,24.98
"TBK""",1999,2.0131,8.51
"TBK""",2000,1.9400,7.54
"TBK""",2002,1.0114,7.84
"TBK""",2004,1.9650,17.91
"TBK""",2006,5.3789,33.61
"TBK""",2008,7.3877,33.21
"TBK""",2011,1.3138,33.66
"TBK""",2013,4.1257,41.54
"TBK""",2015,2.5025,42.37
"TBK""",2017,2.2118,32.15
BASIC INDUSTRIES,1970,2.8568,5.32
BASIC INDUSTRIES,1972,2.3671,5.64
BASIC INDUSTRIES,1974,3.4366,5.11
BASIC INDUSTRIES,1976,5.5751,7.21
BASIC INDUSTRIES,1978,2.4455,5.76
BASIC INDUSTRIES,1981,5.3060,6.47
BASIC INDUSTRIES,1983,6.0220,7.60
BASIC INDUSTRIES,1985,7.2841,7.63
BASIC INDUSTRIES,1987,13.7923,11.77
BASIC INDUSTRIES,1989,13.3297,12.46
BASIC INDUSTRIES,1990,13.1874,11.18
BASIC INDUSTRIES,1992,13.0811,13.11
BASIC INDUSTRIES,1994,14.3305,14.53
BASIC INDUSTRIES,1996,15.7052,16.98
BASIC INDUSTRIES,1998,13.0607,16.64
BASIC INDUSTRIES,2001,18.3446,15.85
BASIC INDUSTRIES,2003,15.4765,14.96
BASIC INDUSTRIES,2005,16.3904,21.29
BASIC INDUSTRIES,2007,30.5142,33.75
BASIC INDUSTRIES,2009,21.3137,21.65
BASIC INDUSTRIES,2010,25.3530,28.30
BASIC INDUSTRIES,2012,25.2858,29.04
BASIC INDUSTRIES,2014,37.5500,35.03
BASIC INDUSTRIES,2016,39.2516,30.08
BASIC INDUSTRIES,2018,43.4898,38.94
CAPITAL GOODS,1970,100.6675,52.76
CAPITAL GOODS,1972,122.8212,56.57
CAPITAL GOODS,1974,70.8979,27.16
CAPITAL GOODS,1976,82.6862,31.03
CAPITAL GOODS,1978,90.5108,29.84
CAPITAL GOODS,1981,69.3851,18.58
CAPITAL GOODS,1983,88.2765,21.48
CAPITAL GOODS,1985,127.1723,26.27
CAPITAL GOODS,1987,245.7152,41.70
CAPITAL GOODS,1989,31.5698,12.95
CAPITAL GOODS,1990,20.6874,9.99
CAPITAL GOODS,1992,97.6268,15.10
CAPITAL GOODS,1994,37.2996,12.54
CAPITAL GOODS,1996,68.1520,22.63
CAPITAL GOODS,1998,75.0017,26.16
CAPITAL GOODS,2001,28.3911,19.45
CAPITAL GOODS,2003,45.0749,20.43
CAPITAL GOODS,2005,43.3053,28.85
CAPITAL GOODS,2007,29.9693,34.67
CAPITAL GOODS,2009,15.6542,18.39
CAPITAL GOODS,2010,18.0393,24.31
CAPITAL GOODS,2012,22.9763,28.23
CAPITAL GOODS,2014,36.9681,42.56
CAPITAL GOODS,2016,43.8381,40.16
CAPITAL GOODS,2018,64.3131,56.61
CONSUMER DURABLES,1970,1.0845,13.41
CONSUMER DURABLES,1972,0.7697,15.07
CONSUMER DURABLES,1974,3.8236,4.00
CONSUMER DURABLES,1976,5.5010,5.82
CONSUMER DURABLES,1978,4.0415,4.42
CONSUMER DURABLES,1981,3.3796,3.79
CONSUMER DURABLES,1983,6.0006,5.82
CONSUMER DURABLES,1985,5.7415,6.18
CONSUMER DURABLES,1987,9.6101,10.10
CONSUMER DURABLES,1989,8.1713,10.43
CONSUMER DURABLES,1990,7.5348,9.41
CONSUMER DURABLES,1992,23.7105,17.06
CONSUMER DURABLES,1994,38.2009,20.10
CONSUMER DURABLES,1996,248.7190,23.89
CONSUMER DURABLES,1998,37.1420,25.55
CONSUMER DURABLES,2001,30.9035,21.49
CONSUMER DURABLES,2003,20.8559,19.75
